FID,OBJECTID,Voltaje,Circuito,SHAPE_STLe,Shape__Length
1,46,230,Liberia-Papagayo,1615.05854861,24379.2073890395
2,47,230,Canas-Liberia,1631.22488349,42862.2929941258
3,51,230,Liberia-Frontera Nicaragua,67128.6766831,73495.6888702991
4,55,230,Papagayo-Nuevo Colon,5008.67713591,29061.9889215585
5,61,230,Pailas-Liberia,10896.8700269,21308.649604196
6,66,230,Mogote-Pailas,10349.2681783,18158.0631486745
7,72,138,Canas-Colorado,23764.7549727,24284.5793004088
8,104,138,Colorado-Santa Rita,16502.5766968,33127.8829660527
9,131,138,Angostura-Concavas,30098.7665632,33213.4423931688
10,137,138,Concavas-Aguas Calientes,1353.70075278,1377.54105948766
11,138,138,Concavas-Alajuelita,15942.5059425,34386.1124506822
12,141,138,Rio Macho-Concavas,8601.96310506,8766.93513350483
13,156,138,Desamparados-Escazu,1715.03419455,16964.9334345536
14,157,138,Rio Macho-Desamparados,1711.55465958,34271.543082419
15,165,138,Alajuelita-La Caja,1961.88000802,12096.8529223242
16,175,138,Angostura-Cachi,9618.367981,15081.1803915011
17,181,138,Turrialba-Angostura,5129.76471347,5243.73611083811
18,185,138,Cachi-Turrialba,9624.16701968,9807.3993417606
19,223,230,Miravalles-Mogote,8983.56147104,9191.2026969087
20,236,230,Corobici-Canas,6360.90743989,7818.45969348572
21,238,230,Arenal-Corobici,1290.03743291,10130.5112576976
22,243,230,Sandillal-Corobici,3049.60307378,3104.2736325269
23,245,138,Canas-Filadelfia,36697.2905487,43914.2689530939
24,248,138,Filadelfia-Guayabal,21665.5597306,28643.2551637214
25,256,138,Colorado-Cemex,3313.08159633,3382.66174127281
26,258,230,Garabito-Canas,53005.0845235,61285.76468612
27,261,230,Arenal-Garabito,2694.14244777,58158.5815489224
28,262,230,Garabito-Coyol,2656.39064905,64865.4310411738
29,263,230,Barranca-Garabito,7799.52269514,7949.6937487349
30,270,230,Arenal-Lindora,54268.0653134,122582.028088175
31,272,230,Miravalles-Arenal,35765.6650815,36503.9268096318
32,275,230,Tejona-Penas Blancas,45578.6643084,59775.161755262
33,279,230,Arenal-Tejona,6020.31891743,6157.22776286508
