X,Y,FID,OBJECTID,Subestacio,Provincia,Canton,Distrito,CodDistrit,PuntoX,PuntoY,Observacio
-9502115.47296933,1204458.41910926,1,1,Pailas,Guanacaste,Liberia,Curubande,50105,351364.1094,1189696.6503,PAI
-9286489.71282835,999651.907136919,2,2,Palmar,Puntarenas,Osa,Palmar,60502,563565.006,988950.5848,PAL
-9541740.18775384,1176269.98005814,3,3,Nuevo Colon,Guanacaste,Carrillo,Sandillal,50303,312269.6436,1162354.3696,NCO
-9392167.66242501,1128763.73085753,4,4,Naranjo,Alajuela,Naranjo,Naranjo,20601,459308.0753,1115426.6794,NAR
-9250898.77448584,1118265.24568474,5,5,Moin,Limón,Limón,Rio Blanco,70103,598425.7277,1105266.8363,MOI
-9491947.15230617,1201016.46901161,6,6,Mogote,Guanacaste,Bagaces,Mogote,50403,361342.5446,1186293.2829,MOG
-9511776.68469252,1188515.02042561,7,7,Liberia,Guanacaste,Liberia,Liberia,50101,341796.9519,1174169.5231,LIB
-9390837.36931767,1110832.63702294,8,8,La Garita,Alajuela,Alajuela,Turrucares,20111,460598.7121,1097881.2971,GAR
-9323587.49794135,1148562.06379834,9,9,Leesville,Limón,Pococi,Roxana,70204,526814.037,1134774.4302,LEE
-9525543.35617591,1149020.23760551,10,10,Guayabal,Guanacaste,Santa Cruz,Santa Cruz,50301,328069.6285,1135631.8946,GUA
-9369316.00890546,1114899.06621563,11,11,La Caja,San Jose,San Jose,Uruca,10107,481799.9497,1101843.8433,CAJ
-9424590.12628534,1115313.6251479,12,12,Juanilama,Puntarenas,Esparza,San Juan Grande,60202,427358.9571,1102317.6363,JUA
-9364197.66372841,1116954.78442957,13,13,Heredia,Heredia,Heredia,San Francisco,40101,486841.8284,1103853.1715,HER
-9435544.4232988,1124042.52216323,14,14,Garabito,Puntarenas,Montes de Oro,San Isidro,60403,416588.9513,1110881.8417,GAB
-9514746.82626086,1166098.92316279,15,15,Filadelfia,Guanacaste,Carrillo,Filadelfia,50501,338773.9512,1152279.2768,FIL
-9375936.52561991,1118675.19063079,16,16,El Coco,Alajuela,Alajuela,San Antonio,20104,475281.7887,1105542.5433,COC
-9356937.68771779,1106363.61615533,17,17,Desamparados,San Jose,Desamparados,Gravilias,10312,493990.1874,1093486.7411,DES
-9470819.75056352,1172202.71314525,18,18,Corobici,Guanacaste,Cañas,Cañas,50601,382007.8643,1158070.1895,COR
-9338339.44964034,1100651.04592691,19,19,Concavas,Cartago,Cartago,Dulce Nombre,30109,512313.9516,1087896.7732,COV
-9481355.90964593,1144385.46957003,20,20,Colorado,Guanacaste,Abangares,Colorado,50704,371545.2111,1130914.1779,COD
-9398704.40069328,1158750.76118936,21,21,Ciudad Quesada,Alajuela,San Carlos,Quesada,21001,452911.2595,1144755.3485,CQU
-9372731.45924262,1151265.11942488,22,22,Cariblanco,Alajuela,Alajuela,Sarapiqui,20114,478457.4707,1137413.3148,CAR
-9430302.05803748,1117958.65921538,23,23,Barranca,Puntarenas,Puntarenas,Barranca,60108,421738.4585,1104917.6172,BAR
-9462188.79794563,1172365.38171851,24,24,Arenal,Guanacaste,Tilaran,Santa Rosa,50804,390496.9849,1158201.1567,ARE
