node_count,p,expected_cut,expected_ratio,best_sample_cut,best_sample_ratio,status,independent_runs,parameter_candidates,expected_ratio_observation,std_expected_ratio
6,1,511.48046875,0.48344089673913043,1058.0,1.0,completed,1,5,0.48344089673913043,
6,2,632.724609375,0.598038383152174,1058.0,1.0,completed,1,5,0.598038383152174,
6,3,592.16015625,0.5596976902173914,1058.0,1.0,completed,1,5,0.5596976902173914,
8,1,706.216796875,0.4952431955645161,1426.0,1.0,completed,1,5,0.4952431955645161,
8,2,762.14453125,0.5344632056451613,1426.0,1.0,completed,1,5,0.5344632056451613,
8,3,758.865234375,0.5321635584677419,1426.0,1.0,completed,1,5,0.5321635584677419,
10,1,828.763671875,0.4619641426282051,1656.0,0.9230769230769231,completed,1,5,0.4619641426282051,
10,2,1041.873046875,0.5807542067307693,1794.0,1.0,completed,1,5,0.5807542067307693,
10,3,1080.236328125,0.6021384214743589,1794.0,1.0,completed,1,5,0.6021384214743589,
12,1,1219.044921875,0.5638505651595744,2162.0,1.0,completed,1,5,0.5638505651595744,
12,2,1381.212890625,0.6388588763297872,2162.0,1.0,completed,1,5,0.6388588763297872,
12,3,1486.779296875,0.6876870013297872,2162.0,1.0,completed,1,5,0.6876870013297872,
